CityID,Date,Temperature ,Humidity,Status
VN.HCM,27/04/2021,32-26,85%,rainy
VN.HCM,28/04/2021,33-26,67%,rainy
VN.HCM,29/04/2021,33-25,65%,rainy
VN.HCM,30/04/2021,33-26,63%,sunny
VN.HCM,01/05/2021,33-26,66%,rainy
VN.HCM,02/05/2021,33-26,66%,rainy
VN.HCM,03/05/2021,33-26,63%,sunny
VN.HCM,04/05/2021,34-27,63%,sunny
VN.HN,27/04/2021,25-22,83%,cloudy
VN.HN,28/04/2021,26-24,84%,rainy
VN.HN,29/04/2021,26-20,72%,sunny
VN.HN,30/04/2021,29-22,69%,sunny
VN.HN,01/05/2021,28-23,77%,rainy
VN.HN,02/05/2021,29-25,82%,thunderstorm
VN.HN,03/05/2021,32-26,77%,rainy
VN.HN,04/05/2021,33-25,76%,rainy
